tier,tier_label,drug,concentration,order,r2,rmsd,n
primary,main-text (just-above-WT-MIC),AMP,781.0,1,0.3511732621680682,0.5694139371450243,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,2,0.5246552482414584,0.4874717297799954,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,3,0.5624677253537359,0.4678498470189269,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,4,0.5972016830247829,0.4486585625614253,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,5,0.6470230315099027,0.42000559820008004,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,6,0.7222887477976746,0.372569244684287,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,7,0.8129163365715013,0.3059473767667491,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,8,0.8992361312049165,0.22497791554977126,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,9,0.9585485270790193,0.14428632559619356,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,10,0.9880109228879652,0.07754610886833123,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,11,0.9974467018173548,0.038598274879355514,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,12,0.9995043423691715,0.018413545041653503,55296
primary,main-text (just-above-WT-MIC),AMP,781.0,13,0.9999023005046277,0.011290286766001646,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,1,0.10039362481525807,0.3621544618023698,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,2,0.2500516165861833,0.33069167025827206,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,3,0.3775515518470237,0.30126536789576885,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,4,0.462710750408573,0.2798729625958025,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,5,0.5451253432717471,0.257514453405846,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,6,0.6540279598846965,0.22459753916086733,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,7,0.7745656545059042,0.18131816821967364,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,8,0.88077798485808,0.13182703899519213,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,9,0.9483627167843341,0.08709389707064233,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,10,0.9850104602597922,0.04678410037910669,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,11,0.9958291635934133,0.024735837553446532,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,12,0.9982617239633896,0.016872058396181878,55296
primary,main-text (just-above-WT-MIC),AZT,36.0,13,0.9995177469987679,0.0089152584660613,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,1,0.5561703897411608,0.31533326481678925,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,2,0.7053823333737653,0.25700316913865684,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,3,0.7592138540329275,0.23242512533854243,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,4,0.8000738564509187,0.21158989565015768,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,5,0.833359615195478,0.19322969116321356,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,6,0.8733326996243153,0.16849270470477587,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,7,0.9158390358932397,0.13743897600295965,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,8,0.9556736415042857,0.10030881032467745,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,9,0.9812714592440851,0.06494406266490203,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,10,0.9948008449499035,0.036608571262991045,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,11,0.9983816436693913,0.01954155481930084,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,12,0.9996685087324535,0.009992148901335852,55296
secondary,alternative (~3x WT-MIC),AMP,195.0,13,0.9999616794950397,0.008565694693363499,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,1,0.16861559123976125,0.3782401569804334,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,2,0.36682181153493415,0.33009246911477547,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,3,0.4882707612101613,0.29676885604241476,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,4,0.5601096725501485,0.2751370469948342,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,5,0.6403470605523407,0.24878542162080505,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,6,0.7301476536848064,0.21547109129895184,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,7,0.8250348299982743,0.17365295942142933,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,8,0.9076334639797746,0.12609944741280188,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,9,0.9613172154272099,0.08168983572417556,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,10,0.9886771936607148,0.04422670723073662,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,11,0.9962597197781038,0.025414112838593256,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,12,0.9984637473367619,0.017672410928101852,55296
secondary,alternative (~3x WT-MIC),AZT,12.0,13,0.9996483988371312,0.008407357753144277,55296
