subset,drug,concentration,order,r2,n
full,AMP,781.0,1,0.3511732621680682,55296
full,AMP,781.0,2,0.5246552482414584,55296
full,AMP,781.0,3,0.5624677253537359,55296
full,AMP,781.0,4,0.5972016830247829,55296
full,AMP,781.0,5,0.6470230315099027,55296
full,AMP,781.0,6,0.7222887477976746,55296
full,AMP,781.0,7,0.8129163365715013,55296
full,AMP,781.0,8,0.8992361312049165,55296
full,AMP,781.0,9,0.9585485270790193,55296
full,AMP,781.0,10,0.9880109228879652,55296
full,AMP,781.0,11,0.9974467018173548,55296
full,AMP,781.0,12,0.9995043423691715,55296
full,AMP,781.0,13,0.9999023005046277,55296
clean,AMP,781.0,1,0.3497559448466835,47062
clean,AMP,781.0,2,0.5592678161797567,47062
clean,AMP,781.0,3,0.6080475465892924,47062
clean,AMP,781.0,4,0.6424459051157618,47062
clean,AMP,781.0,5,0.6817936105708864,47062
clean,AMP,781.0,6,0.7390735658788062,47062
clean,AMP,781.0,7,0.8128174403329226,47062
clean,AMP,781.0,8,0.8913529577782646,47062
clean,AMP,781.0,9,0.9531600337258475,47062
clean,AMP,781.0,10,0.9856987366607272,47062
clean,AMP,781.0,11,0.9969849332401755,47062
clean,AMP,781.0,12,0.9994735742666696,47062
clean,AMP,781.0,13,0.9999120003769135,47062
