drug,concentration,model,feature_set,train_fraction_of_pool,n_train,rmsd_mean,rmsd_std,r2_mean,r2_std,runtime_mean
AMP,781.0,Decision tree,bare,0.0003,16,1.0753209685517102,0.11455925346212492,-1.4469888584030468,0.5089521249150065,0.0007069443818181753
AMP,781.0,Decision tree,bare,0.001,53,0.8822919198384597,0.13584144500336526,-0.6607960280054531,0.5217359986725585,0.0004763747565448284
AMP,781.0,Decision tree,bare,0.003,158,0.7995907987514207,0.024048814091160806,-0.34362928866143694,0.08127392288441894,0.0006465002273519834
AMP,781.0,Decision tree,bare,0.01,525,0.7665140068765389,0.038088801922461626,-0.2360515006891927,0.123263340863405,0.0011494446080178022
AMP,781.0,Decision tree,bare,0.03,1576,0.7245865819937833,0.011348903587605569,-0.10289369832058319,0.03442452942180104,0.0026859580539166927
AMP,781.0,Decision tree,bare,0.1,5253,0.6981889203350734,0.005428920483458117,-0.023871537232280787,0.01588682535534288,0.007952431061615547
AMP,781.0,Decision tree,bare,0.3,15759,0.6872288399033146,0.0065860947813311714,0.008000612975079702,0.01897728700784707,0.022089930561681587
AMP,781.0,Decision tree,bare,0.5,26266,0.6920345355153351,0.01257607476184928,-0.006081587375581399,0.03656726513774464,0.035929318983107805
AMP,781.0,Decision tree,bare,0.7,36772,0.6962510470943463,0.007262449173791436,-0.018228579160539327,0.02120238578567115,0.050350013887509704
AMP,781.0,Decision tree,bare,0.9,47278,0.6995679931312203,0.00677091467316627,-0.027943024482610657,0.0198517917131599,0.06371801369823515
AMP,781.0,Decision tree,bare,0.99,52006,0.7039842243885205,0.005109920832169472,-0.0409339376895194,0.015140300563559151,0.06952220830135047
AMP,781.0,Lasso (+ pairwise),pw,0.0003,16,0.7779671999025116,0.09744343169087646,-0.2844681561196724,0.3236171338818628,0.015185527658710877
AMP,781.0,Lasso (+ pairwise),pw,0.001,53,0.6692290224937908,0.0351920257918903,0.057608226063951405,0.09966386316497232,0.03727372200228274
AMP,781.0,Lasso (+ pairwise),pw,0.003,158,0.6038391458108101,0.01680701761534587,0.233788208153183,0.04257849158849687,0.5507723333624502
AMP,781.0,Lasso (+ pairwise),pw,0.01,525,0.5477876656506334,0.004071217961778702,0.3697359290534619,0.009387185149020441,0.053895513604705535
AMP,781.0,Lasso (+ pairwise),pw,0.03,1576,0.5042732210103086,0.003017621535821795,0.4658979567795743,0.006381752690439655,0.0484617636539042
AMP,781.0,Lasso (+ pairwise),pw,0.1,5253,0.4874594843019085,0.0009873409006647506,0.5009313416190194,0.0020207144312836428,0.15741666670267782
AMP,781.0,Lasso (+ pairwise),pw,0.3,15759,0.483275003643761,0.001143089094561464,0.5094623512581136,0.002318998744850987,0.38040359737351537
AMP,781.0,Lasso (+ pairwise),pw,0.5,26266,0.4823416262786579,0.000285060938148598,0.5113570384939393,0.0005774850650520717,0.5556834444093207
AMP,781.0,Lasso (+ pairwise),pw,0.7,36772,0.4822768815807173,0.00023548748946735536,0.5114882468437881,0.000477034665708005,0.6390258189445982
AMP,781.0,Lasso (+ pairwise),pw,0.9,47278,0.48202563681923066,0.00008833712750490372,0.5119971666078006,0.00017887373271530086,0.9674545557548603
AMP,781.0,Lasso (+ pairwise),pw,0.99,52006,0.48196635967578344,0.00004444023984833045,0.5121171917656097,0.00008997042099514561,1.0138247079836826
AMP,781.0,Lasso (additive),bare,0.0003,16,0.7562548407659734,0.06657325937808949,-0.2074141901527672,0.21170027726892673,0.016860472038388252
AMP,781.0,Lasso (additive),bare,0.001,53,0.6905389206321897,0.014555492091190577,-0.0018137825808046681,0.04247422573521863,0.01387434701124827
AMP,781.0,Lasso (additive),bare,0.003,158,0.5954584453340029,0.01799235636055061,0.2548405049598585,0.04482585214114003,0.0131616386740158
AMP,781.0,Lasso (additive),bare,0.01,525,0.5675400694433702,0.0005494113031196909,0.3234881799323639,0.0013094824658582507,0.013391694286838174
AMP,781.0,Lasso (additive),bare,0.03,1576,0.5610108722840175,0.00046328572367458295,0.3389644549014285,0.0010918960785217867,0.013818055701752504
AMP,781.0,Lasso (additive),bare,0.1,5253,0.5583988120355728,0.0005223390994123895,0.3451055885082804,0.0012250149252234909,0.019486653075243037
AMP,781.0,Lasso (additive),bare,0.3,15759,0.5576458035976918,0.0002899952691679056,0.34687092898361804,0.0006792482384831409,0.016332555717478197
AMP,781.0,Lasso (additive),bare,0.5,26266,0.5572824785066354,0.00019312833164192671,0.3477217884417816,0.00045208917650447854,0.025229236266265314
AMP,781.0,Lasso (additive),bare,0.7,36772,0.5571277624177788,0.00010182902299062411,0.3480839545871363,0.00023829542760817063,0.030181110991785925
AMP,781.0,Lasso (additive),bare,0.9,47278,0.5571085176789765,0.00006949744237006441,0.3481289995425642,0.0001626432575639873,0.032297277667870126
AMP,781.0,Lasso (additive),bare,0.99,52006,0.5570781149572498,0.000010478300526303772,0.34820015247600633,0.00002451995278490314,0.033639944391325116
AMP,781.0,LightGBM,bare,0.0003,16,0.7184518480433625,0.037638055206756525,-0.08610364840918527,0.11504164550288834,0.009282958305751285
AMP,781.0,LightGBM,bare,0.001,53,0.7368837373202198,0.04374439747021776,-0.143139246627639,0.13312077732628555,0.02401602764924367
AMP,781.0,LightGBM,bare,0.003,158,0.5686470323194475,0.024344979749002724,0.32001714609011717,0.05884183181634987,0.06425812498976786
AMP,781.0,LightGBM,bare,0.01,525,0.5439721355633457,0.007728558918859033,0.3784246155126271,0.01764537615288243,0.21077534727131328
AMP,781.0,LightGBM,bare,0.03,1576,0.505824091898463,0.00036579140038430836,0.4626203301712562,0.00077738398587776,0.35887540263744694
AMP,781.0,LightGBM,bare,0.1,5253,0.4774529075959624,0.004588836168551384,0.5211826392688409,0.00918284580314608,0.4044201663540055
AMP,781.0,LightGBM,bare,0.3,15759,0.4668385663719308,0.002405960667733215,0.5422554278344738,0.0047137915050324075,0.49069859739392996
AMP,781.0,LightGBM,bare,0.5,26266,0.4644270170332672,0.0012249838783615083,0.5469782787191289,0.002387979047828009,0.5311642222416898
AMP,781.0,LightGBM,bare,0.7,36772,0.46322762295602066,0.0004482280417976859,0.5493169455407815,0.00087228333925895,0.5369059587052712
AMP,781.0,LightGBM,bare,0.9,47278,0.4632294754268506,0.0006975986797377058,0.5493129408393256,0.001357653094453911,0.5497590697680911
AMP,781.0,LightGBM,bare,0.99,52006,0.46226808392295665,0.0004682885188014672,0.5511820927724532,0.0009093476183990987,0.5604620973269144
AMP,781.0,Linear (+ pairwise),pw,0.0003,16,0.7520516152426687,0.06084089285980651,-0.19307610006377848,0.19183968598082687,0.0005035973154008389
AMP,781.0,Linear (+ pairwise),pw,0.001,53,0.8125182951608415,0.037315596524406386,-0.3885406529571278,0.12741713507484478,0.0014887639942268531
AMP,781.0,Linear (+ pairwise),pw,0.003,158,2.308390719531381,0.40103778442511673,-10.417015913284983,3.8843802773486944,0.0021317085872093835
AMP,781.0,Linear (+ pairwise),pw,0.01,525,0.5807053359840885,0.005199005302945063,0.29170055802310096,0.012712297517021966,0.0026263889546195665
AMP,781.0,Linear (+ pairwise),pw,0.03,1576,0.5078620779880995,0.002976219974666163,0.4582691432025871,0.006356987534915934,0.004393139000361164
AMP,781.0,Linear (+ pairwise),pw,0.1,5253,0.4880675808180705,0.0009459521214420726,0.49968552292705426,0.0019385231389979322,0.011965652694925666
AMP,781.0,Linear (+ pairwise),pw,0.3,15759,0.4833548553543709,0.0010845331469534756,0.5093004176733172,0.0022006510580566893,0.03299843038742741
AMP,781.0,Linear (+ pairwise),pw,0.5,26266,0.4823139080454921,0.00029021656186249266,0.5114131934054295,0.0005879410707705479,0.0465820972652485
AMP,781.0,Linear (+ pairwise),pw,0.7,36772,0.48225690423988743,0.00022730401909703987,0.5115287225174968,0.00046044771763462187,0.05831904158306619
AMP,781.0,Linear (+ pairwise),pw,0.9,47278,0.48201387060089806,0.0000791388319968683,0.5120209927162162,0.00016024361422835922,0.07815706939436495
AMP,781.0,Linear (+ pairwise),pw,0.99,52006,0.4819359710766486,0.000049078532616349015,0.5121787124959964,0.00009935455753641628,0.08883205560656886
AMP,781.0,Linear (additive),bare,0.0003,16,1.4965832207620033,0.6254848647162015,-4.2519816199296505,4.236829347881782,0.0036538057029247284
AMP,781.0,Linear (additive),bare,0.001,53,0.7521563227640815,0.0987175043303217,-0.20186906868922508,0.32232314081655655,0.0002913610078394413
AMP,781.0,Linear (additive),bare,0.003,158,0.5999016511522796,0.015385393312021942,0.24380714593431266,0.038490076631544294,0.00032563872324923676
AMP,781.0,Linear (additive),bare,0.01,525,0.5691902785184887,0.001031275190296165,0.31954727433509356,0.0024644534701349467,0.0003599027016510566
AMP,781.0,Linear (additive),bare,0.03,1576,0.5610658286060023,0.00043716605474860263,0.3388349721792407,0.0010304459160517308,0.00047762497949103516
AMP,781.0,Linear (additive),bare,0.1,5253,0.5583897134311522,0.0005105987686106218,0.34512694712841796,0.0011974552370381105,0.0009594444030274948
AMP,781.0,Linear (additive),bare,0.3,15759,0.5576417987296124,0.00028683445398076295,0.34688031270963293,0.0006718314263537739,0.002029666599507133
