drug,concentration,model,feature_set,train_fraction_of_pool,n_train,n_test,seed,rmsd,r2,runtime_s
AMP,781.0,Linear (additive),bare,0.0003,16,2765,1001,1.3408438602072337,-2.776056423374157,0.010400249855592847
AMP,781.0,Lasso (additive),bare,0.0003,16,2765,1001,0.7555545026168377,-0.19898474030181323,0.0222421670332551
AMP,781.0,Decision tree,bare,0.0003,16,2765,1001,1.1751131389308564,-1.9002899921012393,0.0013735000975430012
AMP,781.0,LightGBM,bare,0.0003,16,2765,1001,0.7611379541273126,-0.21677090605917648,0.01757154194638133
AMP,781.0,Linear (+ pairwise),pw,0.0003,16,2765,1001,0.7542101956118298,-0.19472199104103538,0.0007975001353770494
AMP,781.0,Lasso (+ pairwise),pw,0.0003,16,2765,1001,0.7611379483742581,-0.21677088766527186,0.01453595794737339
AMP,781.0,Linear (additive),bare,0.0003,16,2765,1002,2.185223115334043,-9.029369490904225,0.00029200012795627117
AMP,781.0,Lasso (additive),bare,0.0003,16,2765,1002,0.6900345133043125,-0.00005454121139769619,0.013799416134133935
AMP,781.0,Decision tree,bare,0.0003,16,2765,1002,0.9502253846798722,-0.896423446113902,0.00040070805698633194
AMP,781.0,LightGBM,bare,0.0003,16,2765,1002,0.6900345133919822,-0.000054541465513757714,0.0051423329859972
AMP,781.0,Linear (+ pairwise),pw,0.0003,16,2765,1002,0.6901601581663316,-0.0004187640207176102,0.0003652498126029968
AMP,781.0,Lasso (+ pairwise),pw,0.0003,16,2765,1002,0.6900345133043125,-0.00005454121139769619,0.014595333021134138
AMP,781.0,Linear (additive),bare,0.0003,16,2765,1003,0.9636826867447333,-0.9505189455105689,0.00026916712522506714
AMP,781.0,Lasso (additive),bare,0.0003,16,2765,1003,0.8231755063767698,-0.42320328894509074,0.014539832947775722
AMP,781.0,Decision tree,bare,0.0003,16,2765,1003,1.100624382044402,-1.5442531369939996,0.00034662499092519283
AMP,781.0,LightGBM,bare,0.0003,16,2765,1003,0.7041830766107925,-0.04148549770286558,0.005134999984875321
AMP,781.0,Linear (+ pairwise),pw,0.0003,16,2765,1003,0.8117844919498448,-0.38408754512958243,0.0003480419982224703
AMP,781.0,Lasso (+ pairwise),pw,0.0003,16,2765,1003,0.8827291380289642,-0.6365790394823476,0.016425292007625103
AMP,781.0,Linear (additive),bare,0.001,53,2765,1001,0.6795941246522369,0.029978655031487222,0.00032291701063513756
AMP,781.0,Lasso (additive),bare,0.001,53,2765,1001,0.707320183141084,-0.05078571748621852,0.013183416100218892
AMP,781.0,Decision tree,bare,0.001,53,2765,1001,1.0357350890586614,-1.2530946644618512,0.0004927502013742924
AMP,781.0,LightGBM,bare,0.001,53,2765,1001,0.7595270790059847,-0.21162599947571015,0.024426083080470562
AMP,781.0,Linear (+ pairwise),pw,0.001,53,2765,1001,0.8121336948907613,-0.38527857896136664,0.003298874944448471
AMP,781.0,Lasso (+ pairwise),pw,0.001,53,2765,1001,0.707320183141084,-0.05078571748621852,0.03845266602002084
AMP,781.0,Linear (additive),bare,0.001,53,2765,1002,0.7123047007659777,-0.06564777025497448,0.0002808328717947006
AMP,781.0,Lasso (additive),bare,0.001,53,2765,1002,0.6813394188860107,0.024989952228916423,0.01443708292208612
AMP,781.0,Decision tree,bare,0.001,53,2765,1002,0.7773871213351972,-0.2692779714518956,0.0005065831355750561
AMP,781.0,LightGBM,bare,0.001,53,2765,1002,0.7646649003645211,-0.22807353115228923,0.021873916033655405
AMP,781.0,Linear (+ pairwise),pw,0.001,53,2765,1002,0.7753964852844333,-0.26278587651561525,0.000573375029489398
AMP,781.0,Lasso (+ pairwise),pw,0.001,53,2765,1002,0.6624421651763814,0.07832460088799231,0.035780749982222915
AMP,781.0,Linear (additive),bare,0.001,53,2765,1003,0.8645701428740298,-0.569938090844188,0.0002703331410884857
AMP,781.0,Lasso (additive),bare,0.001,53,2765,1003,0.6829571598694744,0.02035441751488809,0.0140025420114398
AMP,781.0,Decision tree,bare,0.001,53,2765,1003,0.8337535491215204,-0.46001544810261263,0.0004297909326851368
AMP,781.0,LightGBM,bare,0.001,53,2765,1003,0.6864592325901538,0.010281790745082398,0.02574808383360505
AMP,781.0,Linear (+ pairwise),pw,0.001,53,2765,1003,0.8500247053073302,-0.5175575033944015,0.0005940420087426901
AMP,781.0,Lasso (+ pairwise),pw,0.001,53,2765,1003,0.637924719163907,0.1452857947900804,0.03758775000460446
AMP,781.0,Linear (additive),bare,0.003,158,2765,1001,0.609864719279791,0.21882366198690173,0.0003113329876214266
AMP,781.0,Lasso (additive),bare,0.003,158,2765,1001,0.611587560350622,0.21440385015211494,0.014633625047281384
AMP,781.0,Decision tree,bare,0.003,158,2765,1001,0.7799837078264942,-0.27777127975026006,0.000615208875387907
AMP,781.0,LightGBM,bare,0.003,158,2765,1001,0.5966307344675177,0.25235866744623914,0.06307958299294114
AMP,781.0,Linear (+ pairwise),pw,0.003,158,2765,1001,1.903749864198332,-6.612053472945485,0.0035767918452620506
AMP,781.0,Lasso (+ pairwise),pw,0.003,158,2765,1001,0.6201140709761296,0.19234621677683217,0.6271419171243906
AMP,781.0,Linear (additive),bare,0.003,158,2765,1002,0.607658377663678,0.22446564825998283,0.0003304160200059414
