drug,concentration,rep_i,rep_j,n,pearson_r,pearson_p
Ampicillin,0.0,1,2,55247,0.022226714014561194,1.7430079024009972e-7
Ampicillin,0.0,1,3,55247,0.02681864624612112,2.8888627571805106e-10
Ampicillin,0.0,2,3,55247,0.02990207606344377,2.068295069108847e-12
Ampicillin,3.1,1,2,55247,0.314839317180092,0.0
Ampicillin,3.1,1,3,55247,0.2054193451546319,0.0
Ampicillin,3.1,2,3,55247,0.24219002555629593,0.0
Ampicillin,12.2,1,2,55247,0.6902880085122403,0.0
Ampicillin,12.2,1,3,55247,0.694420196005062,0.0
Ampicillin,12.2,2,3,55247,0.6964547251335951,0.0
Ampicillin,48.8,1,2,55247,0.7831166801982911,0.0
Ampicillin,48.8,1,3,55247,0.7841134570566339,0.0
Ampicillin,48.8,2,3,55247,0.7940991181163126,0.0
Ampicillin,195.0,1,2,55247,0.7627772185146207,0.0
Ampicillin,195.0,1,3,55247,0.7584494744546152,0.0
Ampicillin,195.0,2,3,55247,0.770075253090483,0.0
Ampicillin,781.0,1,2,55247,0.5773743360529259,0.0
Ampicillin,781.0,1,3,55247,0.5785363933972083,0.0
Ampicillin,781.0,2,3,55247,0.5855625120076937,0.0
Aztreonam,0.0,1,2,55231,0.02225270647653871,1.6932739015405147e-7
Aztreonam,0.0,1,3,55231,-0.0069056445849581885,0.10461137150814248
Aztreonam,0.0,2,3,55231,0.01925918025329887,5.997695081881533e-6
Aztreonam,0.44,1,2,55231,0.785157439211902,0.0
Aztreonam,0.44,1,3,55231,0.7778182715085777,0.0
Aztreonam,0.44,2,3,55231,0.7827902430187033,0.0
Aztreonam,1.33,1,2,55231,0.7848890787526077,0.0
Aztreonam,1.33,1,3,55231,0.7718455874111987,0.0
Aztreonam,1.33,2,3,55231,0.8473965229989113,0.0
Aztreonam,4.0,1,2,55231,0.6961235371711642,0.0
Aztreonam,4.0,1,3,55231,0.6969059492263991,0.0
Aztreonam,4.0,2,3,55231,0.6978495227126165,0.0
Aztreonam,12.0,1,2,55231,0.6140255725807604,0.0
Aztreonam,12.0,1,3,55231,0.6189534079015172,0.0
Aztreonam,12.0,2,3,55231,0.609701747381383,0.0
Aztreonam,36.0,1,2,55231,0.49759561319154444,0.0
Aztreonam,36.0,1,3,55231,0.5005416650109766,0.0
Aztreonam,36.0,2,3,55231,0.4922347945610921,0.0
Aztreonam,108.0,1,2,55231,0.39683039184981295,0.0
Aztreonam,108.0,1,3,55231,0.3909185697316875,0.0
Aztreonam,108.0,2,3,55231,0.3900717961174474,0.0
Aztreonam,324.0,1,2,55231,0.2649377136330749,0.0
Aztreonam,324.0,1,3,55231,0.25152828920364023,0.0
Aztreonam,324.0,2,3,55231,0.26173033998019113,0.0
