drug,concentration,n_genotypes,cv_median,cv_q25,cv_q75,cv_q90,frac_lt_10pct_cv,logsd_median,logsd_q25,logsd_q75
Ampicillin,0.0,55293,23.745371996373173,15.035715491803956,34.90605187772851,48.03231689198499,0.12068435425822437,0.10417768460006736,0.06569584296904764,0.1547616620221204
Ampicillin,3.1,55293,25.068632583713182,15.854365964526819,36.89711460058584,50.40529488703452,0.11012243864503644,0.11056009986604229,0.06914228324368515,0.16423033822281982
Ampicillin,12.2,55293,25.468395794144662,16.080363661468898,37.48528122151181,52.09547491709232,0.105745754435462,0.11202265601643545,0.07015391146723006,0.1670987780620584
Ampicillin,48.8,55293,28.067675801873502,17.56924705875496,42.16988532421254,58.73321744096275,0.09031884687030908,0.1241496766150171,0.07690926716990419,0.18941950191643817
Ampicillin,195.0,55293,35.08469473569711,21.474111332509406,53.19067674737122,73.87833040894598,0.06407682708480278,0.15640021202477186,0.09418491975417614,0.2466711251077225
Ampicillin,781.0,55293,65.55524315297257,38.99571434938165,93.17778795007567,125.56517545426019,0.02492178033385781,0.32106538328839507,0.17618331438047277,0.5691296220779936
Aztreonam,0.0,55293,25.160646272080154,16.019195443346618,37.04742778434536,51.087983879349274,0.1083500623948782,0.11078573924336137,0.07002098487414206,0.16468501853921247
Aztreonam,0.44,55293,31.58226808703977,19.76361139714927,46.7797462460673,63.892034070518314,0.07357169985350767,0.14030788713566217,0.08648876070350085,0.21227228342685245
Aztreonam,1.33,55293,31.33852011731588,19.539167378563654,46.847754288627875,64.15849414826499,0.07566961459859295,0.13907339627174609,0.08557162716592302,0.21194882110739538
Aztreonam,4.0,55293,41.50416530912795,26.256328493246915,59.770710237892054,79.10784276880999,0.04315193604977122,0.1879231044321858,0.11590040817980142,0.2823340645601151
Aztreonam,12.0,55293,48.559134737436956,31.29423650230939,68.26781105167028,89.47037087748983,0.030329336444034505,0.22244037739190772,0.13923272907831935,0.3277553916111796
Aztreonam,36.0,55293,52.65905192628801,33.43026525765896,76.00823511139225,101.37465719519341,0.025048378637440544,0.24242457145277477,0.14923435680190927,0.36098174163704644
Aztreonam,108.0,55293,39.69030430848161,24.68745239422567,61.21994139809773,91.35318444796654,0.04646157741486264,0.17840799481527578,0.10868887703015588,0.2817546862435777
Aztreonam,324.0,55293,29.310964303076624,18.522088843590225,42.954575454936396,59.81115343039062,0.08113142712459082,0.1296935356485468,0.08106593868049261,0.19232864076226916
