Training_Size_Fraction,Training_Size,R2_Score,R2_Error,RMSD,RMSD_Error,MAPE_scores,MAPE_errors
0.0625%,35,-0.04015003360406453,0.05533159510853892,0.7206302578541239,0.018814734764638952,38.29494292420759,2.9944407792151577
0.125%,69,0.1514973920895482,0.07051465816430907,0.6505940732359974,0.027243775952754526,34.986438476896964,1.537584205939387
0.25%,138,0.28368991219275963,0.04372764318352425,0.597985034535514,0.018342335445732764,32.45798920582151,0.8943062225458384
0.5%,276,0.342428981009275,0.033722124247752096,0.5730088486713496,0.01466821861582526,31.233914843695374,0.8543013550874818
1.0%,553,0.4135271541043054,0.010510011963601964,0.5413147163475569,0.004872376283054887,29.69728045224282,0.5203068177506337
2.0%,1106,0.44619700261803424,0.008415617345153972,0.525896719272845,0.003867063274900887,29.146088540637102,0.4855945039959556
3.0%,1659,0.47917062554933343,0.005881727817135448,0.5100387428221963,0.002925304850618561,28.470635950507262,0.2740671507418224
4.0%,2212,0.4948613972159704,0.002098341853583711,0.5026076002642584,0.001217670620248254,28.241142349797872,0.3701741535897439
5.0%,2765,0.5082942587623934,0.004001859946714603,0.4958727179586443,0.0019518463758136774,27.819887538209485,0.23450237979674488
10.0%,5530,0.5331532555314327,0.002256302493686441,0.48286469608599625,0.0011501912341372329,27.296893807406597,0.17553301831692653
30.0%,16589,0.5545007337458522,0.0026968924584851632,0.47142023287754087,0.0007887236579785124,26.788903728006467,0.2668245790486702
70.0%,38707,0.5612038340281751,0.0031697996310797332,0.4680903608548356,0.0021394088953344595,26.776710034647493,0.5373244734417569
90.0%,49766,0.5638617469187424,0.012609709492447295,0.4650285173898154,0.008219855465597187,26.54742679816231,1.4137019447931582
