drug,concentration,order,r2,cum_r2,dr2,rmsd,n
AMP,3.1,1,0.24108515227055613,0.24108515227055613,0.24108515227055613,0.1136535281874517,55296
AMP,3.1,2,0.35090675157662093,0.35090675157662093,0.1098215993060648,0.10525117711904462,55296
AMP,3.1,3,0.3946211264271369,0.3946211264271369,0.04371437485051599,0.10150959009582844,55296
AMP,3.1,4,0.4379227231937341,0.4379227231937341,0.04330159676659717,0.09816744757195829,55296
AMP,3.1,5,0.5066703926719226,0.5066703926719226,0.0687476694781885,0.09167166714808588,55296
AMP,3.1,6,0.6107755220607202,0.6107755220607202,0.10410512938879757,0.08150172861806247,55296
AMP,3.1,7,0.7371565084212062,0.7371565084212062,0.126380986360486,0.06729817027606803,55296
AMP,3.1,8,0.8583837515361628,0.8583837515361628,0.12122724311495658,0.04949257815824483,55296
AMP,3.1,9,0.9401025849697285,0.9401025849697285,0.08171883343356579,0.032419375064603906,55296
AMP,3.1,10,0.9819196569778431,0.9819196569778431,0.041817072008114575,0.019666421115037226,55296
AMP,3.1,11,0.9953221531707083,0.9953221531707083,0.013402496192865154,0.010028451602236607,55296
AMP,3.1,12,0.9972627428478559,0.9972627428478559,0.0019405896771476083,0.0072211838831433214,55296
AMP,3.1,13,0.9998667110881466,0.9998667110881466,0.002603968240290744,0.006150435463422702,55296
AMP,12.2,1,0.5512748251060623,0.5512748251060623,0.5512748251060623,0.1693778561254856,55296
AMP,12.2,2,0.6673863399863401,0.6673863399863401,0.11611151488027782,0.14578218014904964,55296
AMP,12.2,3,0.7257785056413522,0.7257785056413522,0.05839216565501204,0.132343497468948,55296
AMP,12.2,4,0.7754887724003734,0.7754887724003734,0.04971026675902124,0.1199321134347992,55296
AMP,12.2,5,0.8146800761988494,0.8146800761988494,0.03919130379847602,0.1089092362096724,55296
AMP,12.2,6,0.8611856022408974,0.8611856022408974,0.04650552604204794,0.09423071050429037,55296
AMP,12.2,7,0.9089334407488858,0.9089334407488858,0.04774783850798847,0.07641136561143948,55296
AMP,12.2,8,0.9511362266421749,0.9511362266421749,0.042202785893289074,0.05653749401426934,55296
AMP,12.2,9,0.9799336407984015,0.9799336407984015,0.02879741415622661,0.03630719355181341,55296
AMP,12.2,10,0.9942817447588324,0.9942817447588324,0.014348103960430847,0.020271636214279454,55296
AMP,12.2,11,0.9986436322783564,0.9986436322783564,0.004361887519524044,0.011523172791401862,55296
AMP,12.2,12,0.9995738805900564,0.9995738805900564,0.000930248311699966,0.006210692424191506,55296
AMP,12.2,13,0.9999770691544102,0.9999770691544102,0.0004031885643538402,0.005984133090267785,55296
AMP,48.8,1,0.6410369336757451,0.6410369336757451,0.6410369336757451,0.21928267928624365,55296
AMP,48.8,2,0.7200979236284308,0.7200979236284308,0.07906098995268573,0.19374356701876178,55296
AMP,48.8,3,0.802561505079057,0.802561505079057,0.08246358145062616,0.16263870043979844,55296
AMP,48.8,4,0.8322514778707661,0.8322514778707661,0.02968997279170915,0.14998174676922615,55296
AMP,48.8,5,0.8646325400418555,0.8646325400418555,0.03238106217108938,0.13465984072915024,55296
AMP,48.8,6,0.8976308150926793,0.8976308150926793,0.032998275050823755,0.1171005737464726,55296
AMP,48.8,7,0.9335810894229969,0.9335810894229969,0.03595027433031761,0.09455477489452199,55296
AMP,48.8,8,0.9652850993077005,0.9652850993077005,0.031704009884703566,0.06933913471790455,55296
AMP,48.8,9,0.9854683159429583,0.9854683159429583,0.020183216635257795,0.04438301719128178,55296
AMP,48.8,10,0.9958348280069663,0.9958348280069663,0.010366512064008071,0.027001307150915425,55296
AMP,48.8,11,0.9990161749050382,0.9990161749050382,0.003181346898071924,0.012720648317035598,55296
AMP,48.8,12,0.9997347876604997,0.9997347876604997,0.0007186127554614785,0.007842332725643837,55296
AMP,48.8,13,0.9999821370357681,0.9999821370357681,0.00024734937526837975,0.008016408132351905,55296
AMP,195.0,1,0.5561703897411608,0.5561703897411608,0.5561703897411608,0.31533326481678925,55296
AMP,195.0,2,0.7053823333737653,0.7053823333737653,0.14921194363260448,0.25700316913865684,55296
AMP,195.0,3,0.7592138540329275,0.7592138540329275,0.05383152065916219,0.23242512533854243,55296
AMP,195.0,4,0.8000738564509187,0.8000738564509187,0.04086000241799115,0.21158989565015768,55296
AMP,195.0,5,0.833359615195478,0.833359615195478,0.0332857587445593,0.19322969116321356,55296
AMP,195.0,6,0.8733326996243153,0.8733326996243153,0.03997308442883729,0.16849270470477587,55296
AMP,195.0,7,0.9158390358932397,0.9158390358932397,0.042506336268924416,0.13743897600295965,55296
AMP,195.0,8,0.9556736415042857,0.9556736415042857,0.039834605611046014,0.10030881032467745,55296
AMP,195.0,9,0.9812714592440851,0.9812714592440851,0.02559781773979941,0.06494406266490203,55296
AMP,195.0,10,0.9948008449499035,0.9948008449499035,0.013529385705818409,0.036608571262991045,55296
AMP,195.0,11,0.9983816436693913,0.9983816436693913,0.003580798719487799,0.01954155481930084,55296
AMP,195.0,12,0.9996685087324535,0.9996685087324535,0.0012868650630621925,0.009992148901335852,55296
AMP,195.0,13,0.9999616794950397,0.9999616794950397,0.00029317076258617014,0.008565694693363499,55296
AMP,781.0,1,0.3511732621680682,0.3511732621680682,0.3511732621680682,0.5694139371450243,55296
AMP,781.0,2,0.5246552482414584,0.5246552482414584,0.17348198607339016,0.4874717297799954,55296
AMP,781.0,3,0.5624677253537359,0.5624677253537359,0.03781247711227753,0.4678498470189269,55296
AMP,781.0,4,0.5972016830247829,0.5972016830247829,0.03473395767104703,0.4486585625614253,55296
AMP,781.0,5,0.6470230315099027,0.6470230315099027,0.049821348485119765,0.42000559820008004,55296
AMP,781.0,6,0.7222887477976746,0.7222887477976746,0.0752657162877719,0.372569244684287,55296
AMP,781.0,7,0.8129163365715013,0.8129163365715013,0.0906275887738267,0.3059473767667491,55296
AMP,781.0,8,0.8992361312049165,0.8992361312049165,0.08631979463341521,0.22497791554977126,55296
AMP,781.0,9,0.9585485270790193,0.9585485270790193,0.05931239587410275,0.14428632559619356,55296
AMP,781.0,10,0.9880109228879652,0.9880109228879652,0.02946239580894594,0.07754610886833123,55296
AMP,781.0,11,0.9974467018173548,0.9974467018173548,0.009435778929389627,0.038598274879355514,55296
AMP,781.0,12,0.9995043423691715,0.9995043423691715,0.002057640551816675,0.018413545041653503,55296
AMP,781.0,13,0.9999023005046277,0.9999023005046277,0.00039795813545617786,0.011290286766001646,55296
AZT,0.44,1,0.42157132678554515,0.42157132678554515,0.42157132678554515,0.29910115793130443,55296
AZT,0.44,2,0.6036392526548362,0.6036392526548362,0.18206792586929105,0.24760042364042467,55296
AZT,0.44,3,0.7089109278617999,0.7089109278617999,0.10527167520696368,0.21214882781794497,55296
AZT,0.44,4,0.7666580270915011,0.7666580270915011,0.057747099229701226,0.19010136479409645,55296
AZT,0.44,5,0.8194243046002033,0.8194243046002033,0.05276627750870222,0.16716355049734627,55296
AZT,0.44,6,0.8716926377793225,0.8716926377793225,0.052268333179119164,0.14086680777338384,55296
AZT,0.44,7,0.9214386713956263,0.9214386713956263,0.04974603361630381,0.11034296015377648,55296
AZT,0.44,8,0.9601792134643238,0.9601792134643238,0.03874054206869748,0.07893373427778268,55296
AZT,0.44,9,0.9836569000145049,0.9836569000145049,0.02347768655018112,0.05030978418948887,55296
AZT,0.44,10,0.995127672774785,0.995127672774785,0.011470772760280079,0.02798428110957327,55296
AZT,0.44,11,0.9987741986366998,0.9987741986366998,0.003646525861914829,0.014279667650737727,55296
AZT,0.44,12,0.9995485748537771,0.9995485748537771,0.0007743762170773216,0.009316196050360435,55296
AZT,0.44,13,0.9999500127693305,0.9999500127693305,0.00040143791555335984,0.0066073282599755714,55296
AZT,1.33,1,0.3491777914603862,0.3491777914603862,0.3491777914603862,0.33132765229947475,55296
AZT,1.33,2,0.5595164364048517,0.5595164364048517,0.21033864494446552,0.27255425850494985,55296
AZT,1.33,3,0.660136871951488,0.660136871951488,0.10062043554663624,0.23942498952268831,55296
AZT,1.33,4,0.7357782305303986,0.7357782305303986,0.07564135857891063,0.21114491301974755,55296
AZT,1.33,5,0.789360805559568,0.789360805559568,0.05358257502916941,0.188486403969622,55296
AZT,1.33,6,0.8487303407497764,0.8487303407497764,0.05936953519020838,0.15972404203601565,55296
AZT,1.33,7,0.9045099256355867,0.9045099256355867,0.05577958488581036,0.12707150201567763,55296
AZT,1.33,8,0.9509086716065889,0.9509086716065889,0.04639874597100213,0.09121700901623943,55296
AZT,1.33,9,0.9799278182471133,0.9799278182471133,0.029019146640524407,0.05823588266361238,55296
AZT,1.33,10,0.9941794651268634,0.9941794651268634,0.014251646879750113,0.03209607031762564,55296
AZT,1.33,11,0.998438810755094,0.998438810755094,0.004259345628230604,0.016662194205167225,55296
AZT,1.33,12,0.9993530914378495,0.9993530914378495,0.0009142806827554528,0.011273560456567647,55296
AZT,1.33,13,0.9999220846987751,0.9999220846987751,0.0005689932609256321,0.006379063690484388,55296
AZT,4.0,1,0.2585726008194864,0.2585726008194864,0.2585726008194864,0.3621129233718107,55296
AZT,4.0,2,0.4783613222866521,0.4783613222866521,0.21978872146716572,0.3037291709398883,55296
AZT,4.0,3,0.5834285594748477,0.5834285594748477,0.1050672371881956,0.2713984399147005,55296
AZT,4.0,4,0.6580871525729413,0.6580871525729413,0.07465859309809353,0.2458703735168131,55296
AZT,4.0,5,0.7260927974032437,0.7260927974032437,0.06800564483030247,0.2200604992439221,55296
AZT,4.0,6,0.7963766577780532,0.7963766577780532,0.07028386037480949,0.18973734654865604,55296
AZT,4.0,7,0.8691056322077826,0.8691056322077826,0.07272897442972936,0.15236747603202017,55296
AZT,4.0,8,0.9315649176909103,0.9315649176909103,0.062459285483127736,0.11006294918681354,55296
AZT,4.0,9,0.9709788647592054,0.9709788647592054,0.03941394706829504,0.07174924597517103,55296
AZT,4.0,10,0.9906866037948753,0.9906866037948753,0.019707739035669913,0.041126087822383466,55296
AZT,4.0,11,0.9971264525113512,0.9971264525113512,0.00643984871647596,0.022558386127774607,55296
AZT,4.0,12,0.9988209074000816,0.9988209074000816,0.0016944548887303235,0.014470540349741216,55296
AZT,4.0,13,0.9998225128767301,0.9998225128767301,0.001001605476648515,0.006044112095198979,55296
AZT,12.0,1,0.16861559123976125,0.16861559123976125,0.16861559123976125,0.3782401569804334,55296
AZT,12.0,2,0.36682181153493415,0.36682181153493415,0.1982062202951729,0.33009246911477547,55296
AZT,12.0,3,0.4882707612101613,0.4882707612101613,0.12144894967522712,0.29676885604241476,55296
AZT,12.0,4,0.5601096725501485,0.5601096725501485,0.07183891133998727,0.2751370469948342,55296
AZT,12.0,5,0.6403470605523407,0.6403470605523407,0.08023738800219216,0.24878542162080505,55296
AZT,12.0,6,0.7301476536848064,0.7301476536848064,0.08980059313246569,0.21547109129895184,55296
AZT,12.0,7,0.8250348299982743,0.8250348299982743,0.09488717631346788,0.17365295942142933,55296
AZT,12.0,8,0.9076334639797746,0.9076334639797746,0.08259863398150036,0.12609944741280188,55296
AZT,12.0,9,0.9613172154272099,0.9613172154272099,0.05368375144743531,0.08168983572417556,55296
AZT,12.0,10,0.9886771936607148,0.9886771936607148,0.02735997823350489,0.04422670723073662,55296
AZT,12.0,11,0.9962597197781038,0.9962597197781038,0.007582526117388966,0.025414112838593256,55296
AZT,12.0,12,0.9984637473367619,0.9984637473367619,0.002204027558658117,0.017672410928101852,55296
AZT,12.0,13,0.9996483988371312,0.9996483988371312,0.0011846515003692826,0.008407357753144277,55296
AZT,36.0,1,0.10039362481525807,0.10039362481525807,0.10039362481525807,0.3621544618023698,55296
AZT,36.0,2,0.2500516165861833,0.2500516165861833,0.14965799177092523,0.33069167025827206,55296
AZT,36.0,3,0.3775515518470237,0.3775515518470237,0.1274999352608404,0.30126536789576885,55296
AZT,36.0,4,0.462710750408573,0.462710750408573,0.0851591985615493,0.2798729625958025,55296
AZT,36.0,5,0.5451253432717471,0.5451253432717471,0.0824145928631741,0.257514453405846,55296
AZT,36.0,6,0.6540279598846965,0.6540279598846965,0.10890261661294942,0.22459753916086733,55296
AZT,36.0,7,0.7745656545059042,0.7745656545059042,0.12053769462120767,0.18131816821967364,55296
AZT,36.0,8,0.88077798485808,0.88077798485808,0.10621233035217581,0.13182703899519213,55296
AZT,36.0,9,0.9483627167843341,0.9483627167843341,0.06758473192625414,0.08709389707064233,55296
AZT,36.0,10,0.9850104602597922,0.9850104602597922,0.03664774347545807,0.04678410037910669,55296
AZT,36.0,11,0.9958291635934133,0.9958291635934133,0.010818703333621116,0.024735837553446532,55296
AZT,36.0,12,0.9982617239633896,0.9982617239633896,0.0024325603699763,0.016872058396181878,55296
AZT,36.0,13,0.9995177469987679,0.9995177469987679,0.0012560230353783064,0.0089152584660613,55296
AZT,108.0,1,0.040096783177194006,0.040096783177194006,0.040096783177194006,0.26045914364090583,55296
AZT,108.0,2,0.1275786139426273,0.1275786139426273,0.08748183076543328,0.24833011207074232,55296
AZT,108.0,3,0.2516976179091725,0.2516976179091725,0.12411900396654521,0.22997902346123786,55296
AZT,108.0,4,0.37497213021409265,0.37497213021409265,0.12327451230492015,0.2102068225881761,55296
AZT,108.0,5,0.47964686621038854,0.47964686621038854,0.1046747359962959,0.19178086588616158,55296
AZT,108.0,6,0.6003406910031561,0.6003406910031561,0.12069382479276758,0.16809186687051506,55296
AZT,108.0,7,0.7416921456723201,0.7416921456723201,0.141351454669164,0.13512472681457913,55296
AZT,108.0,8,0.8619925322939991,0.8619925322939991,0.12030038662167897,0.09900573094719,55296
AZT,108.0,9,0.942133242681828,0.942133242681828,0.08014071038782888,0.06405519863864059,55296
AZT,108.0,10,0.9828273701352468,0.9828273701352468,0.04069412745341883,0.03494175759254581,55296
AZT,108.0,11,0.992979147218434,0.992979147218434,0.010151777083187263,0.022322659590775975,55296
AZT,108.0,12,0.9963704103098155,0.9963704103098155,0.003391263091381491,0.017074047367471642,55296
AZT,108.0,13,0.9992458023771167,0.9992458023771167,0.0028753920673011413,0.008130592093365172,55296
AZT,324.0,1,0.06285489414357683,0.06285489414357683,0.06285489414357683,0.15365617658046923,55296
AZT,324.0,2,0.09934892095956514,0.09934892095956514,0.03649402681598832,0.15065360177205184,55296
AZT,324.0,3,0.15060661354174026,0.15060661354174026,0.05125769258217512,0.14627830096276334,55296
AZT,324.0,4,0.24547327223149987,0.24547327223149987,0.0948666586897596,0.13786540226622937,55296
AZT,324.0,5,0.3755176322815071,0.3755176322815071,0.13004436005000722,0.12545394888187092,55296
AZT,324.0,6,0.5321519994797739,0.5321519994797739,0.1566343671982668,0.10857839761441689,55296
AZT,324.0,7,0.698689230779625,0.698689230779625,0.1665372312998511,0.0871498207190594,55296
AZT,324.0,8,0.8397087817142694,0.8397087817142694,0.14101955093464447,0.06356474105022485,55296
AZT,324.0,9,0.9341127949406461,0.9341127949406461,0.0944040132263767,0.040917515952207065,55296
AZT,324.0,10,0.9788777516438179,0.9788777516438179,0.04476495670317171,0.023172152653248644,55296
AZT,324.0,11,0.9926937837305378,0.9926937837305378,0.013816032086719998,0.014394671130283013,55296
AZT,324.0,12,0.9949342533259681,0.9949342533259681,0.002240469595430228,0.012073481861939505,55296
AZT,324.0,13,0.9993176467498049,0.9993176467498049,0.004383393423836868,0.005618322933347594,55296
