drug,concentration,n_viable,cv_median,cv_q25,cv_q75,logsd_median,frac_lt_10pct
Ampicillin,0.0,53622,23.82760585880159,15.046776222140373,35.23501088904745,0.10452852980107265,0.12092051769795979
Ampicillin,3.1,50486,24.743488858551586,15.570719003453354,36.61103263037403,0.10885528404573992,0.11411084260983242
Ampicillin,12.2,35008,23.77943745994945,14.970143539102992,35.16974032693926,0.1046355535028864,0.12122943327239488
Ampicillin,48.8,22066,23.42337784807679,14.67618849849395,34.9194488630724,0.10249603651445509,0.12344783830327201
Ampicillin,195.0,13809,23.729230616649726,14.799596805306983,35.77732979756013,0.10388035878375727,0.13027735534796148
Ampicillin,781.0,6430,27.269498988797203,16.69801300113836,41.7084477816699,0.11985455710989504,0.10233281493001556
Aztreonam,0.0,55301,25.30736826663566,16.0669782992916,37.534229972727196,0.11153718095363223,0.10869604527947054
Aztreonam,0.44,14481,25.16759914115132,15.64504257030417,38.30848089333313,0.1108362747968968,0.11656653546025827
Aztreonam,1.33,10273,24.677319972990663,15.288124668245953,37.116918900078,0.1088238296738172,0.11710308575878517
Aztreonam,4.0,6865,27.938997111769183,16.920160842436147,43.28418276311332,0.12319073741659238,0.09905316824471959
Aztreonam,12.0,4478,31.737848180972307,19.114748749996227,49.80502221973412,0.14048052139680184,0.08284948637784725
Aztreonam,36.0,2370,38.10605304051652,22.469075794165146,61.51816233027673,0.16995141233517436,0.0620253164556962
Aztreonam,108.0,757,47.756584118954216,26.843492946286837,76.42981064937345,0.2233919736556735,0.04095112285336856
Aztreonam,324.0,130,70.58148753823379,40.421988109980006,95.32277719175278,0.35590802097497665,0.007692307692307693
