drug,concentration,n_genotypes,frac_rep_low_count,frac_all_reps_low,frac_any_rep_low,frac_majority_low
Ampicillin,0.0,70183,0.1742159782283459,0.13728395765356283,0.20244218685436643,0.1829217901771084
Ampicillin,3.1,70183,0.17376952633353757,0.13607283815168916,0.202527677642734,0.18270806320618954
Ampicillin,12.2,70183,0.1803903129437803,0.14737187068093413,0.20579057606542894,0.18800849208497786
Ampicillin,48.8,70183,0.1876285330255665,0.15543650171694,0.2156932590513372,0.19175583830842227
Ampicillin,195.0,70183,0.2088824929113888,0.17105281905874642,0.24966159896271176,0.2059330607127082
Ampicillin,781.0,70183,0.3396311547430764,0.22941453058432953,0.4679765755239873,0.3215023581209125
Aztreonam,0.0,70572,0.18321241663360352,0.1499036445049028,0.20787281074647168,0.19186079464943603
Aztreonam,0.44,70572,0.19483175574826656,0.1676443915433883,0.21830187609816926,0.19854899960324207
Aztreonam,1.33,70572,0.19793969279600976,0.17501275293317464,0.21814600691492378,0.20066031853993085
Aztreonam,4.0,70572,0.20354153677568063,0.17672731394887492,0.2271864195431616,0.20671087683500539
Aztreonam,12.0,70572,0.20660224073759187,0.1821685654367171,0.22722892932041036,0.21040922745564813
Aztreonam,36.0,70572,0.2080050633868012,0.18589525590885903,0.22633622399818626,0.21178371025335826
Aztreonam,108.0,70572,0.2034376239868503,0.18187099699597575,0.21896786260839993,0.20947401235617524
Aztreonam,324.0,70572,0.1993047289765535,0.17489939352717793,0.21606302782973416,0.2069517655727484
