drug,concentration,order,r2,rmsd,n
AMP,3.1,1,0.24108515227055613,0.1136535281874517,55296
AMP,3.1,2,0.35090675157662093,0.10525117711904462,55296
AMP,3.1,3,0.3946211264271369,0.10150959009582844,55296
AMP,3.1,4,0.4379227231937341,0.09816744757195829,55296
AMP,3.1,5,0.5066703926719226,0.09167166714808588,55296
AMP,3.1,6,0.6107755220607202,0.08150172861806247,55296
AMP,3.1,7,0.7371565084212062,0.06729817027606803,55296
AMP,3.1,8,0.8583837515361628,0.04949257815824483,55296
AMP,3.1,9,0.9401025849697285,0.032419375064603906,55296
AMP,3.1,10,0.9819196569778431,0.019666421115037226,55296
AMP,3.1,11,0.9953221531707083,0.010028451602236607,55296
AMP,3.1,12,0.9972627428478559,0.0072211838831433214,55296
AMP,3.1,13,0.9998667110881466,0.006150435463422702,55296
AMP,12.2,1,0.5512748251060623,0.1693778561254856,55296
AMP,12.2,2,0.6673863399863401,0.14578218014904964,55296
AMP,12.2,3,0.7257785056413522,0.132343497468948,55296
AMP,12.2,4,0.7754887724003734,0.1199321134347992,55296
AMP,12.2,5,0.8146800761988494,0.1089092362096724,55296
AMP,12.2,6,0.8611856022408974,0.09423071050429037,55296
AMP,12.2,7,0.9089334407488858,0.07641136561143948,55296
AMP,12.2,8,0.9511362266421749,0.05653749401426934,55296
AMP,12.2,9,0.9799336407984015,0.03630719355181341,55296
AMP,12.2,10,0.9942817447588324,0.020271636214279454,55296
AMP,12.2,11,0.9986436322783564,0.011523172791401862,55296
AMP,12.2,12,0.9995738805900564,0.006210692424191506,55296
AMP,12.2,13,0.9999770691544102,0.005984133090267785,55296
AMP,48.8,1,0.6410369336757451,0.21928267928624365,55296
AMP,48.8,2,0.7200979236284308,0.19374356701876178,55296
AMP,48.8,3,0.802561505079057,0.16263870043979844,55296
AMP,48.8,4,0.8322514778707661,0.14998174676922615,55296
AMP,48.8,5,0.8646325400418555,0.13465984072915024,55296
AMP,48.8,6,0.8976308150926793,0.1171005737464726,55296
AMP,48.8,7,0.9335810894229969,0.09455477489452199,55296
AMP,48.8,8,0.9652850993077005,0.06933913471790455,55296
AMP,48.8,9,0.9854683159429583,0.04438301719128178,55296
AMP,48.8,10,0.9958348280069663,0.027001307150915425,55296
AMP,48.8,11,0.9990161749050382,0.012720648317035598,55296
AMP,48.8,12,0.9997347876604997,0.007842332725643837,55296
AMP,48.8,13,0.9999821370357681,0.008016408132351905,55296
AMP,195.0,1,0.5561703897411608,0.31533326481678925,55296
AMP,195.0,2,0.7053823333737653,0.25700316913865684,55296
AMP,195.0,3,0.7592138540329275,0.23242512533854243,55296
AMP,195.0,4,0.8000738564509187,0.21158989565015768,55296
AMP,195.0,5,0.833359615195478,0.19322969116321356,55296
AMP,195.0,6,0.8733326996243153,0.16849270470477587,55296
AMP,195.0,7,0.9158390358932397,0.13743897600295965,55296
AMP,195.0,8,0.9556736415042857,0.10030881032467745,55296
AMP,195.0,9,0.9812714592440851,0.06494406266490203,55296
AMP,195.0,10,0.9948008449499035,0.036608571262991045,55296
AMP,195.0,11,0.9983816436693913,0.01954155481930084,55296
AMP,195.0,12,0.9996685087324535,0.009992148901335852,55296
