drug,concentration,spearman_rho,p_value
AMP,0.0,-0.0038416736725368746,0.3663497871397608
AMP,3.1,-0.26377016251138413,0.0
AMP,12.2,-0.48953750887672404,0.0
AMP,48.8,-0.5147427523509968,0.0
AMP,195.0,-0.4414256860145171,0.0
AMP,781.0,-0.32901402730109214,0.0
AZT,0.0,0.007966510110792241,0.061031179916514015
AZT,0.44,-0.19655778977743513,0.0
AZT,1.33,-0.17265197391643325,0.0
AZT,4.0,-0.13725882967486885,1.0874913836486098e-230
AZT,12.0,-0.09129563379943427,1.1987669042653226e-102
AZT,36.0,-0.060244870035611464,1.2391832417085251e-45
AZT,108.0,-0.028228390486204447,3.159739498842294e-11
AZT,324.0,-0.08406401848845708,2.871743766034629e-87
