concentration,distance,n,median,q25,q75,min,max,mean
0.0,1,17030,0.005657698896871732,-0.07366591936140532,0.0857731073770247,-0.5302817315323054,0.692631356397647,0.006389743922715763
0.0,2,194281,0.005231801709952855,-0.07413082277558436,0.08606787614243538,-0.7248298241535758,0.7262005172617352,0.006416165742621192
0.44,1,17030,0.0961652299054705,-0.020677810137089025,0.37776445251681956,-0.8392435543825454,1.740880766171073,0.23231400352693704
0.44,2,194281,0.21386679093688699,0.019621314665782652,0.8260991219520011,-1.1837126467338974,2.708739689259791,0.3910776478233415
1.33,1,17030,0.28508572793350373,0.057233345347514675,1.0204663148601818,-0.9445432451266562,2.0248198732545903,0.5010956477500657
1.33,2,194281,0.7991878564921233,0.14917858739618106,1.2086744210852158,-1.3022849476315557,2.782272248627823,0.7064141498144375
4.0,1,17030,1.0929274317131246,0.3829814582906872,1.489995095964039,-1.0360775987951483,2.3465512636065204,0.9689127085673563
4.0,2,194281,1.3508895290741547,0.7679533769744702,1.5856255606581326,-1.297593110730792,2.6341066180054575,1.1615947473870976
12.0,1,17030,1.489237022246736,1.1283301572161508,1.7923939119610304,-0.6669078936755986,2.882516676891682,1.4444356250734545
12.0,2,194281,1.6117458014550619,1.26488610330459,1.8798991605324367,-0.6320339033797886,3.4513585460556158,1.5476108014099506
36.0,1,17030,0.768234786426663,0.19888931713027969,1.5852371272028325,-2.1246499502645984,3.0803532705864134,0.9077221507735248
36.0,2,194281,0.9438819272114722,0.27080702697726,1.8377740634363606,-2.426694450369265,3.2959568810930566,1.045025772572508
108.0,1,17030,0.07426729930745535,-0.06874498349083868,0.29203918492494196,-2.2733635823120992,3.5578424729047162,0.2644822589565308
108.0,2,194281,0.09351817704154852,-0.05915259245236015,0.3914480007714074,-2.838527514084182,3.640682672692767,0.36321851093474244
324.0,1,17030,0.014326352648210694,-0.07360863681666796,0.10793003034726811,-2.4826005996571876,3.7630556253526013,0.052945373140302496
324.0,2,194281,0.02488086654857602,-0.06744160936916277,0.12342716526814668,-2.623070506207565,3.835034160622705,0.08484734438560167
