concentration,distance,n,median,q25,q75,min,max,mean
0.0,1,2232,0.007282224406751414,-0.06838153895278198,0.08949398998381053,-0.4191382335292779,0.42075984866684335,0.011188723202944327
0.0,2,23365,0.009839308802364055,-0.07016574204579351,0.0923815253700413,-0.5768645687291256,0.5622765531640987,0.012170513351680632
0.44,1,2232,0.020120306895426543,-0.05932582966175204,0.11974240444810036,-0.6338848086518265,1.2785573369877405,0.06631513737097851
0.44,2,23365,0.051920236972403444,-0.04436403041589898,0.20645175963170903,-0.7881670335788198,1.7588949926435578,0.1577659094066357
1.33,1,2232,0.041609914641702384,-0.045838614286099144,0.1547626029734923,-0.788743139038429,1.6206079218912794,0.14153327160763093
1.33,2,23365,0.09985373347503135,-0.01963802839601625,0.608365856006924,-0.8736045188262493,1.9750674479652353,0.32100599631529736
4.0,1,2232,0.07396182011979491,-0.030535662842270828,0.30391401936845464,-0.8131588391520412,2.0415326580453867,0.2840302604197012
4.0,2,23365,0.23222396046397797,0.02172514960380223,1.300273510563799,-1.2555069610530385,2.50148357664475,0.5864085385029983
12.0,1,2232,0.21979726817769096,0.04321082112591057,1.1811524810180938,-1.1357981844566774,2.6174469649791137,0.5973998603906283
12.0,2,23365,1.0895880746630997,0.16538702070367428,1.8803918962235087,-1.61602329320838,2.8618017346320843,1.037255887746734
36.0,1,2232,1.2458057267976743,0.37024487004383033,2.2938391312701314,-1.7563767877875462,3.0803532705864134,1.309225306960096
36.0,2,23365,2.184890439243369,1.0651750112006062,2.5225524350173774,-2.417832716035364,3.2959568810930566,1.787672262436937
108.0,1,2232,2.3514307673800765,1.6982457565728426,2.741252085369114,-0.42911001149427097,3.5578424729047162,2.199056587221772
108.0,2,23365,2.5654613425415893,2.0863858171638,2.892985894792631,-1.3001734040707165,3.6410848375297284,2.410409519315769
324.0,1,2232,0.25327369179992476,0.020093357901016073,1.6364866506573854,-1.9049948079931283,3.7630556253526013,0.8361697988320093
324.0,2,23365,0.39163191918676565,0.042923646057010156,1.8762648430866116,-2.2731762901468238,3.840530327460892,0.9591837866919248
