concentration,neutral_threshold,has_global_peak
0.0,0.15,false
0.0,0.16,false
0.0,0.17,false
0.0,0.18,false
0.0,0.19,false
0.0,0.2,false
0.0,0.21,false
0.0,0.22,false
0.0,0.23,false
0.0,0.24,false
0.0,0.25,false
0.0,0.26,false
0.0,0.27,false
0.0,0.28,false
0.0,0.29,false
0.0,0.3,false
0.0,0.31,false
0.0,0.32,false
0.0,0.33,false
0.0,0.34,false
0.0,0.35,false
0.0,0.36,false
0.0,0.37,false
0.0,0.38,false
0.0,0.39,false
0.0,0.4,false
0.0,0.41,false
0.0,0.42,false
0.0,0.43,false
0.0,0.44,false
0.0,0.45,false
0.44,0.15,false
0.44,0.16,false
0.44,0.17,false
0.44,0.18,false
0.44,0.19,false
0.44,0.2,false
0.44,0.21,false
0.44,0.22,false
0.44,0.23,false
0.44,0.24,false
0.44,0.25,false
0.44,0.26,false
0.44,0.27,false
0.44,0.28,false
0.44,0.29,false
0.44,0.3,false
0.44,0.31,false
0.44,0.32,false
0.44,0.33,false
0.44,0.34,false
0.44,0.35,false
0.44,0.36,false
0.44,0.37,false
0.44,0.38,false
0.44,0.39,false
0.44,0.4,false
0.44,0.41,false
0.44,0.42,false
0.44,0.43,false
0.44,0.44,false
0.44,0.45,false
1.33,0.15,false
1.33,0.16,false
1.33,0.17,false
1.33,0.18,false
1.33,0.19,false
1.33,0.2,false
1.33,0.21,false
1.33,0.22,false
1.33,0.23,false
1.33,0.24,false
1.33,0.25,false
1.33,0.26,false
1.33,0.27,false
1.33,0.28,false
1.33,0.29,false
1.33,0.3,false
1.33,0.31,false
1.33,0.32,false
1.33,0.33,false
1.33,0.34,false
1.33,0.35,false
1.33,0.36,false
1.33,0.37,false
1.33,0.38,false
1.33,0.39,false
1.33,0.4,false
1.33,0.41,false
1.33,0.42,false
1.33,0.43,false
1.33,0.44,false
1.33,0.45,false
4.0,0.15,false
4.0,0.16,false
4.0,0.17,false
4.0,0.18,false
4.0,0.19,false
4.0,0.2,false
4.0,0.21,false
4.0,0.22,false
4.0,0.23,false
4.0,0.24,false
4.0,0.25,false
4.0,0.26,false
4.0,0.27,true
4.0,0.28,true
4.0,0.29,true
4.0,0.3,true
4.0,0.31,true
4.0,0.32,true
4.0,0.33,true
4.0,0.34,true
4.0,0.35,true
4.0,0.36,true
4.0,0.37,true
4.0,0.38,true
4.0,0.39,true
4.0,0.4,true
4.0,0.41,true
4.0,0.42,true
4.0,0.43,true
4.0,0.44,true
4.0,0.45,true
12.0,0.15,false
12.0,0.16,false
12.0,0.17,false
12.0,0.18,false
12.0,0.19,false
12.0,0.2,false
12.0,0.21,false
12.0,0.22,false
12.0,0.23,false
12.0,0.24,true
12.0,0.25,true
12.0,0.26,false
12.0,0.27,false
12.0,0.28,false
12.0,0.29,true
12.0,0.3,true
12.0,0.31,false
12.0,0.32,false
12.0,0.33,false
12.0,0.34,false
12.0,0.35,false
12.0,0.36,false
12.0,0.37,true
12.0,0.38,true
12.0,0.39,true
12.0,0.4,true
12.0,0.41,true
12.0,0.42,true
12.0,0.43,true
12.0,0.44,true
12.0,0.45,true
36.0,0.15,false
36.0,0.16,false
36.0,0.17,false
36.0,0.18,false
36.0,0.19,false
36.0,0.2,false
36.0,0.21,false
36.0,0.22,false
36.0,0.23,false
36.0,0.24,false
36.0,0.25,false
36.0,0.26,false
36.0,0.27,true
36.0,0.28,false
36.0,0.29,false
36.0,0.3,false
36.0,0.31,false
36.0,0.32,false
36.0,0.33,false
36.0,0.34,false
36.0,0.35,false
36.0,0.36,false
36.0,0.37,false
36.0,0.38,false
36.0,0.39,false
36.0,0.4,false
36.0,0.41,false
36.0,0.42,false
36.0,0.43,false
36.0,0.44,false
36.0,0.45,false
108.0,0.15,false
108.0,0.16,false
108.0,0.17,false
108.0,0.18,false
108.0,0.19,false
108.0,0.2,false
108.0,0.21,false
108.0,0.22,false
108.0,0.23,false
108.0,0.24,false
108.0,0.25,false
108.0,0.26,true
108.0,0.27,true
108.0,0.28,true
108.0,0.29,true
108.0,0.3,true
108.0,0.31,true
108.0,0.32,true
108.0,0.33,true
108.0,0.34,true
108.0,0.35,true
108.0,0.36,true
108.0,0.37,true
108.0,0.38,false
108.0,0.39,true
108.0,0.4,true
108.0,0.41,true
108.0,0.42,true
108.0,0.43,false
108.0,0.44,false
108.0,0.45,false
324.0,0.15,false
324.0,0.16,false
324.0,0.17,false
324.0,0.18,false
324.0,0.19,false
324.0,0.2,false
324.0,0.21,false
324.0,0.22,false
324.0,0.23,false
324.0,0.24,false
324.0,0.25,true
324.0,0.26,true
324.0,0.27,true
324.0,0.28,true
324.0,0.29,true
324.0,0.3,true
324.0,0.31,true
324.0,0.32,true
324.0,0.33,true
324.0,0.34,true
324.0,0.35,true
324.0,0.36,true
324.0,0.37,true
324.0,0.38,true
324.0,0.39,true
324.0,0.4,true
324.0,0.41,true
324.0,0.42,true
324.0,0.43,true
324.0,0.44,true
324.0,0.45,true
